Gene,Delta_Correlation,P_Value,FDR,Cancer
TATDN3,0.09608014032653617,0.6020743014073566,0.7413419933490584,HNSCC
TAX1BP1,-0.30937240171185126,0.021619326900244627,0.06856314664428799,HNSCC
TAX1BP3,-0.010765261269848336,0.90781154981139,0.9497884597962317,HNSCC
TAZ,0.3161598850066342,0.2696930829801406,0.431296645657975,HNSCC
TBC1D1,0.06990068024144036,0.6350881628763789,0.7680907519578608,HNSCC
TBC1D10A,0.2537724901289777,0.0992531905607637,0.2111051503486516,HNSCC
TBC1D10B,-0.029296481209980546,0.7894731424825238,0.8782731103684203,HNSCC
TBC1D10C,0.2792699790733867,0.0035082306974250073,0.01676250159788764,HNSCC
TBC1D12,0.2391246977989326,0.26615598172285215,0.428396245589418,HNSCC
TBC1D13,0.05882475145908961,0.736054306358311,0.8414519202244483,HNSCC
TBC1D14,0.22185851415665078,0.2347236484334535,0.39350610615833564,HNSCC
TBC1D15,0.1058703129607455,0.4654921307559311,0.6259202998425878,HNSCC
TBC1D17,-0.0967458012215548,0.5555696801797476,0.7033513593551731,HNSCC
TBC1D2,0.10515668738473449,0.22251510734742885,0.3795785699566384,HNSCC
TBC1D20,0.589957771851612,0.001053064713846335,0.0064669314165172916,HNSCC
TBC1D22A,0.32572984151621115,0.02938055820530376,0.08495176699619679,HNSCC
TBC1D22B,-0.061065697789157825,0.6731115429261201,0.7951580334679715,HNSCC
TBC1D23,0.6054315027185276,7.524315201495704e-05,0.0007264567059880775,HNSCC
TBC1D24,-0.3578474799968902,0.009062796635173613,0.03496059841226783,HNSCC
TBC1D25,0.40780644087095697,0.05411675452814136,0.13479473493262825,HNSCC
TBC1D2B,0.07355152321731617,0.35245020591808685,0.5199840254331592,HNSCC
TBC1D31,-0.0611174388805272,0.7566960555752675,0.8551744042148579,HNSCC
TBC1D4,0.46523362454555117,8.301728152771315e-06,0.000111513020586537,HNSCC
TBC1D5,0.45565830736866125,2.6163429510008983e-05,0.0002970265012591474,HNSCC
TBC1D7,0.22920663728286234,0.32616148066615613,0.492890956894461,HNSCC
TBC1D8,-0.04718583743485444,0.710821590393717,0.8224094083605604,HNSCC
TBC1D8B,-0.08429532194276623,0.39829437533752476,0.5633229253993213,HNSCC
TBC1D9,1.1188190069769017,0.0012455382141323458,0.0073793977303879925,HNSCC
TBC1D9B,0.16349447530967842,0.27969277653914904,0.44221205525450413,HNSCC
TBCA,0.28576174666607174,0.02451484648434767,0.07501373797155898,HNSCC
TBCB,0.17397724800083902,0.21015098523185238,0.36414221890210097,HNSCC
TBCC,0.39796516172007657,0.025586519825796815,0.07758698424787641,HNSCC
TBCD,0.32245328084122316,0.03397768159483737,0.09483410157780596,HNSCC
TBCEL,0.5626657188583795,0.0006182181251733263,0.004175112989397699,HNSCC
TBCK,-0.08290649221841878,0.6305437700831529,0.7642384844458,HNSCC
TBK1,-0.17606598300569465,0.17651026293520866,0.3223774960148182,HNSCC
TBKBP1,0.008157055925818606,0.9814893365273295,0.9904226803823388,HNSCC
TBL1X,0.7439703683019541,1.4886925435671872e-07,3.1087215599287385e-06,HNSCC
TBL1XR1,0.6872780244798594,8.348770094176211e-11,3.453155302165958e-09,HNSCC
TBL2,-0.134501321886643,0.11312489613978714,0.2323491969577094,HNSCC
TBL3,0.3584013682113289,0.02460867688035753,0.07523003665744409,HNSCC
TBP,0.5373534798534798,0.015951708411582246,0.05439197917124128,HNSCC
TBPL1,0.4950463957675405,0.012527364203188777,0.04501357984874612,HNSCC
TBRG4,0.867941757863121,3.5604092847025564e-08,8.594334491192903e-07,HNSCC
TBX3,0.24396682565045194,0.38903123636881165,0.5546532470208759,HNSCC
TBXAS1,0.1177807048252657,0.12397901003290555,0.24831450109691827,HNSCC
TC2N,-0.1696884771575174,0.14611953579063375,0.2797092766922789,HNSCC
TCAF1,0.272581692686542,0.07757831423880372,0.17602227092992415,HNSCC
TCAF2,0.06471556550848823,0.6070574739305912,0.7452808263422521,HNSCC
TCAP,-0.17890172542203997,0.025993298506711084,0.0782993812306279,HNSCC
TCEA1,0.11092545405782628,0.035546575792858345,0.0981733806660874,HNSCC
TCEA2,-0.10104114451940538,0.6982541595491177,0.8133274439505419,HNSCC
TCEA3,0.18674987935800524,1.3818910124503403e-11,6.478942862219096e-10,HNSCC
TCEAL1,0.5474863084561642,0.0002372012872572414,0.001900728803067065,HNSCC
TCEAL3,-0.19892254392909703,0.14943183982699215,0.2841550221812405,HNSCC
TCEAL4,0.4095361413054729,0.003103003840163468,0.015213923302802483,HNSCC
TCEAL5,-0.08963035335876746,0.3699957476794289,0.5363058126733355,HNSCC
TCEAL8,-0.12498090145148966,0.6109454144657698,0.7485789272358571,HNSCC
TCEANC2,0.27087471352177234,0.36598132949539164,0.5328888072178329,HNSCC
TCERG1,0.11698365571235825,0.27794134019770367,0.4406229418761942,HNSCC
TCF12,0.16498542635502006,0.34929078977439265,0.5168249837828314,HNSCC
TCF20,0.3215130898289483,0.00854891099653076,0.03356239131971336,HNSCC
TCF25,-0.05465204502557064,0.6126550735982466,0.7498258380685366,HNSCC
TCF3,0.20898446963003459,0.030719708876933694,0.08780146569984097,HNSCC
TCF4,0.5973281664619816,0.00028109801558879927,0.0021799202622819996,HNSCC
TCF7L2,0.4753246753246753,0.1176855953375353,0.23909790119409255,HNSCC
TCHH,-0.03542747978527794,0.7578963379697246,0.8555692980510635,HNSCC
TCHHL1,-0.2302935707579852,0.4341736213731362,0.5966390335831839,HNSCC
TCHP,0.06937090892529948,0.6897730064740462,0.8082992500762916,HNSCC
TCIRG1,-0.10120864187705608,0.3824438507965833,0.5479054551150698,HNSCC
TCL1A,0.24501803459179283,0.12003261410137513,0.24250218618533462,HNSCC
TCN1,-0.19822589103716226,0.005324826954589894,0.023338297735353095,HNSCC
TCN2,0.023433223123625613,0.9255096450661102,0.9609280850715689,HNSCC
TCOF1,0.28297556470522595,0.007051566224447517,0.028905789752338037,HNSCC
TCP1,0.29343689837136755,0.09451338095541861,0.20328506640433222,HNSCC
TCP11L1,0.3750972105362669,0.0010898023799746147,0.006642345505945276,HNSCC
TCP11L2,-0.22957189457844762,0.007102897633843044,0.029075224354386302,HNSCC
TDG,0.6670242800677583,4.8314257055725706e-08,1.119146400967784e-06,HNSCC
TDP1,-0.04187694792544072,0.5219478776129489,0.6760169810989124,HNSCC
TDP2,0.010954578346452526,0.956832056409784,0.9781975274251193,HNSCC
TDRD3,0.5141906543741406,5.194659824659432e-05,0.0005321252375008275,HNSCC
TDRD5,0.1719611519547889,0.5340769741613075,0.6852149259335707,HNSCC
TDRD7,0.3629354853994434,7.524740900320607e-06,0.0001020601853406489,HNSCC
TDRKH,0.5111700134373791,0.001697989073417709,0.00943520766038148,HNSCC
TDRP,0.5110584618043815,2.0579022063412438e-10,7.995482994517852e-09,HNSCC
TEAD1,0.19668890365903144,0.22349991928768664,0.3805781758151773,HNSCC
TEAD3,0.3003350029234695,0.06778375715347427,0.15859577729382945,HNSCC
TEAD4,-0.015966386554621792,0.9213053425939188,0.9589315151073918,HNSCC
TEC,0.17631337594086371,0.4539609878242902,0.6148649379531219,HNSCC
TECPR1,0.007692092187504995,0.9873350963512003,0.993242403509068,HNSCC
