Gene,Delta_Correlation,P_Value,FDR,Cancer
RRP8,0.2215569357654656,0.07875220309773538,0.10729705608301769,LSCC
RRP9,0.4314318943980413,3.137430321440322e-07,1.2921095210493308e-06,LSCC
RRS1,0.2934513249856577,0.0005638946092461944,0.0012451945202626878,LSCC
RSAD1,0.2409080291751806,0.14900231082805843,0.1894823235090041,LSCC
RSAD2,0.3823541401341767,0.0008547906620521073,0.0018128360965134081,LSCC
RSBN1,0.6723898010137556,1.039861397269625e-06,3.915175937195962e-06,LSCC
RSBN1L,0.6269032053942406,3.173067997845286e-10,1.9468307522263655e-09,LSCC
RSF1,0.2155318025828828,0.1163757620598774,0.15190211559273942,LSCC
RSL1D1,0.3087823611394432,7.101405976848259e-07,2.752759680971207e-06,LSCC
RSL24D1,0.18836655319120765,0.1680532110420454,0.21098165505080552,LSCC
RSPH1,-0.10944838271671453,0.008218185697303737,0.014046118792516138,LSCC
RSPH14,-0.12114928549711157,0.6080972201283552,0.659922246309723,LSCC
RSPH3,-0.04018404645037307,0.7705884155084819,0.8056761644142241,LSCC
RSPH4A,-0.19122867114196107,2.901376782142223e-08,1.395890043752405e-07,LSCC
RSPH9,-0.1422509567001602,0.005794004628620011,0.01024499238020012,LSCC
RSPRY1,0.6731325401009638,2.2206309335769997e-09,1.2355846033145157e-08,LSCC
RSRC1,0.5811447760421562,2.9100732049162085e-43,1.7296747611720714e-41,LSCC
RSRC2,0.41692891277547617,0.006115281889786533,0.010741510993726939,LSCC
RSRP1,0.023666788197680644,0.9094240531296593,0.926555423115407,LSCC
RSU1,0.5582403214336306,8.85156633754395e-22,1.3687544043909425e-20,LSCC
RTCA,0.4367451775060104,0.0005948137382018043,0.00130689533699634,LSCC
RTCB,0.15765609052383991,0.009729004999116914,0.016329961031022536,LSCC
RTEL1,0.13976989032670378,0.43146520368723074,0.4887711836885723,LSCC
RTF1,0.5576439031960847,3.4221631092475464e-07,1.4022881652686895e-06,LSCC
RTKN,0.5278570247012992,6.056452791587988e-08,2.8050421776624236e-07,LSCC
RTKN2,-0.295970067764632,6.889863576745199e-16,7.200286001631521e-15,LSCC
RTN1,0.29483581599863107,8.983797431499803e-12,6.501147513524144e-11,LSCC
RTN2,0.27410719730746486,0.03381912503878323,0.05018123195196909,LSCC
RTN3,0.3083586331862878,0.0022823238979098755,0.00441904993602774,LSCC
RTN4,0.23347064390178485,0.005847629942685199,0.010328610572035829,LSCC
RTN4IP1,0.7168173795458929,3.216232771998574e-08,1.538937039582714e-07,LSCC
RTN4R,0.7502285124576147,0.008526083527439804,0.014522338091812394,LSCC
RTN4RL2,0.5715012295103828,0.01013714963486474,0.01694027700001119,LSCC
RTP4,0.5640313633734686,0.002206380932480222,0.004287284045881882,LSCC
RTTN,0.48880387687059446,0.0006737942936391178,0.001461296176170584,LSCC
RUFY1,0.42842763620857416,3.749065280510993e-09,2.0363794850638482e-08,LSCC
RUFY2,0.18596116080645406,0.1500594491629116,0.19069915744400304,LSCC
RUFY3,0.4000650065088374,9.282240136870043e-09,4.784504265671226e-08,LSCC
RUNDC1,0.4098190382408269,0.0025521753029032856,0.004886816200794009,LSCC
RUNX1,0.2612876218171377,0.002991052885366196,0.00562986896384612,LSCC
RUNX1T1,0.27824071107387843,1.6453211640732479e-06,5.987374083036959e-06,LSCC
RUNX2,0.5082254824579929,0.00010342619675789394,0.0002663131221572846,LSCC
RUNX3,0.32053393791664647,0.006071696518590474,0.010676456189546145,LSCC
RUSC1,0.34860322783216,0.0076489437778549385,0.013153970221953066,LSCC
RUSC2,0.34930468567546336,0.0010271040984989133,0.0021365862143765215,LSCC
RUVBL1,0.31699147942628636,2.5540973856685094e-25,5.086799191142937e-24,LSCC
RUVBL2,0.13349415982386081,0.001043241033946504,0.0021658116571579957,LSCC
RWDD1,0.5881596707786396,5.7322163204193586e-05,0.00015523505611918776,LSCC
RWDD2A,-0.02552837759116109,0.8757103203272413,0.8983016787033239,LSCC
RWDD2B,0.5109908875996012,0.0006518009282016572,0.0014187206165625237,LSCC
RWDD3,-0.12283011106540519,0.6225172559484109,0.6722679032739295,LSCC
RWDD4,0.3726671495531868,0.00919913010741436,0.015541150671474862,LSCC
RXRA,0.35701347268496064,0.0002043673818105347,0.0004973854897039501,LSCC
RXRB,0.5475882457902023,0.00012156590837107545,0.0003087714547809288,LSCC
RYBP,0.31679115565429766,0.025030848948958365,0.03831170174430162,LSCC
RYK,-0.024853702181167475,0.9222653926748264,0.9378802941726181,LSCC
RYR1,-0.12811152159240058,0.3832999833549663,0.4398852986772803,LSCC
S100A1,0.2349622214405842,0.08040384489865955,0.10927339263826401,LSCC
S100A10,0.529415606089006,6.266844706854864e-07,2.4483817800283363e-06,LSCC
S100A11,0.27915438812400073,3.955361048076266e-19,5.1004045514854626e-18,LSCC
S100A12,-0.2533477854783134,0.03213472034169498,0.047918650011684716,LSCC
S100A13,0.5772191112826288,4.078591142754629e-18,4.972743816358528e-17,LSCC
S100A14,0.7936709983924249,1.6336530420750913e-19,2.1754082282568197e-18,LSCC
S100A16,0.6770143952044277,2.5328984451684893e-22,4.031441709381144e-21,LSCC
S100A2,0.9296722691378554,1.9868282498374455e-32,6.178115527832406e-31,LSCC
S100A3,-0.3107098957793449,0.00390688266324143,0.007184232187062713,LSCC
S100A4,0.05063074737227902,0.013461246958472653,0.021867580112468313,LSCC
S100A6,0.40941143397906576,1.7597775259020164e-06,6.375422579553591e-06,LSCC
S100A7,0.9268368952680771,1.6989113380450216e-16,1.8499977280314683e-15,LSCC
S100A7A,0.6855011851612506,4.046081922346852e-06,1.3758607538087685e-05,LSCC
S100A8,-0.01883672632091793,0.8559557678482251,0.8808183157829306,LSCC
S100A9,0.11888062946436029,0.22314517875746576,0.27206546794660247,LSCC
S100B,0.009392583734066706,0.9123340152631395,0.9290225557404255,LSCC
S100P,0.24839980131068617,0.003355819931637294,0.006248428301492055,LSCC
S100PBP,0.22716332068259878,0.08218463772990402,0.11141495435657695,LSCC
S1PR1,0.2968508126449359,1.5350747282487096e-11,1.0887677314340755e-10,LSCC
S1PR2,0.4053797284475833,8.3506057403325e-10,4.877027262470547e-09,LSCC
S1PR3,0.5254312251216277,0.08950845682507304,0.12028621164481082,LSCC
SAA1,0.2595844502476624,0.06474735099399792,0.08997768747485439,LSCC
SAA2,0.3081794690530037,0.027718358933041785,0.04205289977982888,LSCC
SAAL1,0.7476464311612127,3.943788209376087e-43,2.3199232497628817e-41,LSCC
SAC3D1,0.6644521197567257,1.1295226028023764e-05,3.53929487731486e-05,LSCC
SACM1L,0.2362776559558119,3.687877096336796e-07,1.4961270324705124e-06,LSCC
SACS,0.18895236389216113,0.11264933388840284,0.14761214816103493,LSCC
SAE1,0.3718811630383897,2.633941903782153e-19,3.4589810133442955e-18,LSCC
SAFB,0.5571760091784141,3.391604206873718e-07,1.3902653451452179e-06,LSCC
SAFB2,0.606707818336833,4.634291457032941e-05,0.0001281787060292291,LSCC
SAGE1,0.8887427388046306,0.001823250355141926,0.0036041803313493262,LSCC
SALL2,0.36380055232420244,0.0022841564053927995,0.0044218478199054495,LSCC
SAMD1,0.46920347695367626,5.829786000930877e-09,3.080070270491813e-08,LSCC
SAMD12,0.5089559813116109,6.001337586472887e-07,2.355943052522483e-06,LSCC
SAMD14,0.05243565616592877,0.8128320451832064,0.8427400108686065,LSCC
SAMD4A,0.6297967371792547,1.334579085752062e-16,1.4686804750822115e-15,LSCC
SAMD4B,0.5350055381520299,1.1830637132606724e-09,6.808433230323143e-09,LSCC
SAMD8,0.6417933296968996,6.038078064810557e-07,2.3687365718672424e-06,LSCC
SAMD9,0.5655865064530669,8.563136810845528e-17,9.571255365853983e-16,LSCC
SAMD9L,0.32491111205761725,3.970004904121139e-09,2.15024660492788e-08,LSCC
SAMHD1,0.14474873726116788,4.389943715172754e-05,0.00012213075981850675,LSCC
SAMM50,0.31144231817560786,0.0003831809288225143,0.0008787903456034029,LSCC
SAMSN1,0.4419101819239974,0.00043290267251013545,0.0009815786407084573,LSCC
