Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
DGCR8,0.2908825463890413,-2.8304990783767123,-0.13024489694446315,1.2028261405742136,0.4604553162840097,0.5086262193449438,0.7350863557459268,0.7737360309532421,0.8204377952160071,0.8306646552170085,0.999907087318879,Endometrial
DGKA,0.3471064007684228,-3.6012314944086468,0.2300033463407008,-1.8344259847246416,0.22473762640962308,0.17423672770893486,0.4165648271827255,0.4840092901286289,0.6502452080785796,0.5600428476981272,0.999907087318879,Endometrial
DGKB,-0.9423362508624304,8.808369494879612,0.7721935366300139,-7.5461925039505635,0.32146680465768507,0.3722179799961094,0.4101698134182211,0.44085774802194744,0.7291384025064844,0.7508648117380322,0.999907087318879,Endometrial
DGKD,-0.16649245087896397,1.56759678715354,0.262830057269563,-2.6062500929247086,0.857048536320574,0.8653665237730421,0.7737163334141395,0.7756965656514309,0.968098696770985,0.968161638839526,0.999907087318879,Endometrial
DGKE,0.41014023449212345,-3.9140382242924954,0.38549098005604165,-4.433532210003857,0.6709946109250409,0.7139631539687423,0.6869143628848642,0.6755417681874396,0.9119349554327963,0.921710764853055,0.999907087318879,Endometrial
DGKH,0.5578309293529049,-7.76600076422709,-0.06916421669328211,1.4548876969541986,0.045370051897232394,0.03268682074588958,0.7988640298258156,0.6811753930668978,0.3173805942163727,0.24413689599415833,0.999907087318879,Endometrial
DGKQ,0.10840449696260748,-1.0423544204365114,0.045640183171066766,-0.3920243594726426,0.8115149748124307,0.7952919059752064,0.9191413794124411,0.9213166196619178,0.9553323390923794,0.9503071089298859,0.999907087318879,Endometrial
DGKZ,-0.41637614875632595,3.94112022033891,0.5927083962971589,-5.778092728656583,0.1644275441607063,0.17939331190287405,0.0446126392796644,0.045261363382847176,0.567618031357901,0.5674894164765051,0.5356012285896474,Endometrial
DGLUCY,1.2194151823519737,-13.933649684698857,-0.8062461668199321,9.025379438821787,0.07988292416058365,0.06825502221550302,0.23039503831798666,0.2206139265416184,0.4196627231075106,0.3643593449014075,0.9238916947419061,Endometrial
DGUOK,0.6240639485268724,-6.140074874942771,-0.5270574068887477,5.173334838979936,0.3343260107077405,0.3190343420735776,0.4010584894284527,0.3865334028427544,0.7397005814006669,0.7066645946997873,0.999907087318879,Endometrial
DHCR24,0.6749294997591758,-7.909789764869633,-0.13181731827896653,1.414932745407061,0.013214616355611011,0.005441885939599209,0.6104974436866828,0.5931711638142558,0.15534756293269447,0.07799054666616403,0.999907087318879,Endometrial
DHCR7,0.3852240024796824,-3.920627705184652,0.5509483964221226,-5.112625306683858,0.3666360111248216,0.29508894770706123,0.18478564112924797,0.15675540224859164,0.7659554557630122,0.6875285288942536,0.8522569123279435,Endometrial
DHFR,0.49547811153171795,-4.980241671699969,0.3564049488460397,-4.182565607898893,0.16854411740022357,0.15421006010702187,0.30793997046879196,0.2144379663301782,0.5725294350871104,0.5288985578346725,0.9186812569857016,Endometrial
DHODH,0.5632950479494889,-4.6398804450944615,-0.1685881627619168,1.3728878897296266,0.28177160033880594,0.28289816205629026,0.7396064832973959,0.7426532989305341,0.704027183471338,0.6790066391542448,0.999907087318879,Endometrial
DHPS,0.7271044852609309,-7.124701295575957,-0.23288051098304166,2.340373251285482,0.2675653855702802,0.2849021486500434,0.7175276919290183,0.7206251216182873,0.6941463192296764,0.679977263461977,0.999907087318879,Endometrial
DHRS1,-0.19136421286186728,1.6508138507707146,0.9730599223564887,-8.60654540902821,0.5227966574148839,0.5358700718167175,0.0011115672788551865,0.0011963261642308337,0.8545112158869781,0.8433461798359858,0.05870399492827173,Endometrial
DHRS11,-0.004382826524062641,-0.9521288169216563,0.41774843065260975,-2.2855086462157868,0.9919947621489229,0.7562517674767453,0.33508394853303336,0.4515300536774288,0.9988194629989697,0.9350294734235594,0.999907087318879,Endometrial
DHRS13,0.3300880347438093,-2.7320919931154615,-0.044385161652024864,0.21704965427020903,0.3362731514032773,0.283624092167357,0.8952849827848706,0.9302808133217894,0.7419726971900229,0.679522753065274,0.999907087318879,Endometrial
DHRS3,0.2931023704962987,-2.565404454551668,0.336178475591076,-4.340601728545552,0.26911454936102686,0.3681627884306574,0.1974838488842938,0.12141074892823325,0.6949993153578726,0.748696638300517,0.7906514029557354,Endometrial
DHRS4,1.2566848278293647,-11.025775191749592,-0.16108196059243243,1.3262756316161393,0.016597719391102956,0.018817515169078102,0.7483794425927592,0.7679845101069396,0.17900860088713993,0.17699494063561827,0.999907087318879,Endometrial
DHRS4L1,3.511479764049144,-20.394277744916707,-3.2000000000000064,18.786000000000044,0.24738103010714654,0.25104242215323214,0.2841640415396788,0.28326648005346244,0.6736982488724065,0.6528120604058241,0.9693150867470816,Endometrial
DHRS4L2,-2.6052793607821045,23.256702504607816,3.1065770523284653,-27.300957753241285,0.33927758584821754,0.3113061537278771,0.24400309816397814,0.22421212948391545,0.7448774692617064,0.7013459162336698,0.9272279044764343,Endometrial
DHRS7,-0.4972400542507879,5.943560455055071,1.1378077826233701,-12.6460794364317,0.7491510653816218,0.7232747569102405,0.46364686030258806,0.4505534206709698,0.9372401899755151,0.925985439006046,0.999907087318879,Endometrial
DHRS7B,0.18301748111323096,-0.8551230899872708,0.5025880749158734,-5.566272958483495,0.7693997595169491,0.8833522733627399,0.4155198108379574,0.3339026480186882,0.9442735514267336,0.9724128393290488,0.9870898629670172,Endometrial
DHRS9,0.6911336241830179,-3.3704713842947536,-0.2610316902863364,1.059064779454772,0.059170814673409504,0.09121493415444289,0.46124288274862857,0.5822822396252095,0.3657631239040765,0.41856893295251546,0.999907087318879,Endometrial
DHRSX,0.16660005881669734,-1.6246846155664654,0.5452014424272997,-5.116145448893702,0.7004460940649018,0.6818662916081668,0.1984859393199663,0.18641574904524322,0.9231813831570459,0.9108972277881968,0.8883023046209748,Endometrial
DHTKD1,0.15060342953440473,-1.4974456097933262,0.5255345852601795,-6.015825049544438,0.7832618300905175,0.7964821341354359,0.33015972058943144,0.29215173454420756,0.9482388624359187,0.9504866935388947,0.9694366382798985,Endometrial
DHX15,0.13246130039954257,-1.2677912915158085,0.3521257258650379,-4.818177765848678,0.6487025879353631,0.7355787338460673,0.20243215478625598,0.17708801188252865,0.9038822666522077,0.9286582870620693,0.878891599601844,Endometrial
DHX16,0.33171791703346803,-3.4757449008757657,0.15921625819824597,-1.8009160113922742,0.4824811315372688,0.49395157748633367,0.7323884904904907,0.719161933129832,0.8334504473710755,0.8220366368883972,0.999907087318879,Endometrial
DHX29,-0.17469529383097243,2.2159918768312723,0.40290165809017886,-4.729667155515652,0.809184894926684,0.7862338526204582,0.5751747338419125,0.5602544072756541,0.9551742480064783,0.9457703823518415,0.999907087318879,Endometrial
DHX30,0.5672356135111563,-6.503229548309988,0.08888421174032383,-0.9980130289804721,0.0788135828512317,0.079402779628063,0.7771468908903431,0.782024890316,0.4181937154195366,0.3933869716064761,0.999907087318879,Endometrial
DHX32,0.3054086821679301,-2.905731088085297,0.21325196485484618,-2.5855022065010305,0.3667720446840059,0.40528449809991907,0.5238079144244818,0.45339826740276956,0.7659554557630122,0.7736396917035215,0.999907087318879,Endometrial
DHX33,-0.14236363976259522,1.471816344060536,0.5180789130712057,-5.163230847632353,0.6985683956198164,0.683648909597395,0.15125681158858978,0.14517162850895432,0.9228815544677531,0.9110716060657785,0.835447121283162,Endometrial
DHX34,0.44791520875026086,-3.8939065467545126,-0.08470720631639399,0.3804781157666264,0.31721831655209326,0.3596031863217033,0.8453079620811565,0.9262303390188612,0.7253931603149947,0.7419814785559773,0.999907087318879,Endometrial
DHX35,0.5648913204310473,-5.364356602655777,-0.04532976869081256,0.48468685165114717,0.06298144736967626,0.07556976039255092,0.8773982367924338,0.8685842762224931,0.3782394100406945,0.38389194922413344,0.999907087318879,Endometrial
DHX36,0.9853725142160473,-11.031047119929658,-0.4616309410896966,5.213085918432038,0.0031589998530174063,0.0033973412067715386,0.1531672896328237,0.15313231881462333,0.06361675495602788,0.056896111888742724,0.8478523362920166,Endometrial
DHX37,-0.07505857373534221,0.7060190474091312,0.284418795706103,-2.7657314365334305,0.7519182579969684,0.7490939905244496,0.22097969430201048,0.19894079878268542,0.9378714036007254,0.9321715748130626,0.9031213030036096,Endometrial
DHX38,-0.24702847407942996,2.624646717408071,0.5441407733797915,-5.9959514738265876,0.3772995252719201,0.4112293313560461,0.04802893995087511,0.05666054349149089,0.7737030717257417,0.7774318192484494,0.5940981715833196,Endometrial
DHX40,0.7518541624447456,-8.911476098068407,-0.3021790037889404,3.5188183906294754,0.02704586099396605,0.027138136253571747,0.36219033324793604,0.3707764094753814,0.2349767420715872,0.22007657049125448,0.9994977410344582,Endometrial
DHX57,0.6719942542002689,-6.924098550897006,0.08940401296985159,-1.1197835990645961,0.00606402561604882,0.008286118787438812,0.701412976459327,0.6543434234388873,0.0976050080540624,0.10252135990393044,0.999907087318879,Endometrial
DHX58,-0.023772760300565837,0.1481817850482751,0.44672557993730566,-4.043475541692804,0.9141204489383239,0.9406155738484772,0.038030235331573375,0.03718266860790285,0.9802995478249645,0.9850228125401079,0.49228441102194753,Endometrial
DHX8,-0.06221127217271585,0.7328644460457538,0.4916952160494058,-5.68388410493854,0.8787236562370269,0.8768122289722752,0.22014844949504075,0.22153760365531577,0.9733879555701653,0.9705600247748084,0.9244361994300374,Endometrial
DHX9,-0.08790286661397832,1.4228537814554,0.4179970366991012,-5.716439770096801,0.847857168832576,0.8159035818983429,0.35655137950845417,0.34446632078063955,0.9656032039284795,0.9565299355740725,0.9878991011295747,Endometrial
DIABLO,0.08130188276848495,-0.9178110688768703,0.1469056893901351,-1.4827105125584672,0.8212315695770485,0.8036666793733805,0.6641210957362642,0.6685661446587119,0.9570305664987433,0.9521845624036066,0.999907087318879,Endometrial
DIAPH1,0.3046135083818182,-3.291284805851877,0.1170947266248589,-1.638021635014467,0.0728277395920776,0.07384865065562767,0.46581818686558407,0.34113621246133363,0.4017261520403723,0.38193291025008275,0.9878991011295747,Endometrial
