gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
MRVI1,en,0.06505547939625538,-1.0185788748877247,0.5165806291107548,-5.191306431048142,0.9120943682260356,0.8793953219221042,0.10478593818111843,0.2958630476463419
MS4A6A,en,0.5820112532994882,-6.196884604955818,-0.21429896178726157,2.4118899853238203,0.5212871892105261,0.44160616835023797,0.9992021033216063,0.9967766776929352
MSANTD2,en,-0.39635274474046694,3.3856071408967168,0.8116571071611487,-7.489983338066134,0.8981717863652773,0.9105482693361355,0.9807077489474216,0.9787085766924096
MSH2,en,0.2634090985426542,-2.9635894309480286,0.19113766062734244,-2.1661486870460336,0.7185855385897753,0.6771228985728267,0.9992021033216063,0.9859374695601055
MSH3,en,1.2857982654122901,-13.691077714832371,-0.40556697510469,4.270799279577441,0.4535711236428538,0.42969477568685904,0.9992021033216063,0.9993849095097266
MSH6,en,0.5175770518282156,-5.796561780556364,0.4143094071826097,-5.143202465890722,0.3632097291252481,0.40857974274949727,0.7801475302220665,0.7620960737319543
MSI1,en,0.4158334503888627,-3.0429790560576997,0.07835086650793785,-0.5567621983436596,0.31429705514128053,0.21687802768650777,0.9992021033216063,0.9993849095097266
MSI2,en,0.3846130385126504,-4.367048504104452,0.06811772768156621,-0.8837760204445753,0.4881586945478808,0.4549518236174021,0.9992021033216063,0.9993849095097266
MSL1,en,1.0470268634986986,-12.08769861095366,-0.6520291508080226,7.449151837773902,0.3497956105395851,0.3005040759633915,0.9052219819032128,0.8893830240078286
MSL2,en,0.07210293300129451,-1.1158196826489133,0.384808814887331,-3.993037414299322,0.9577289133045049,0.9353816112811444,0.9527193869145251,0.9434297508485181
MSL3,en,-0.07029659271779007,0.4434719980058607,0.15780553537223488,-1.3720960565428708,0.9580098263150173,0.9720655295737805,0.9992021033216063,0.9993849095097266
MSLN,en,0.09620987953720196,-1.5208461029432967,0.3015427515079021,-2.1185347629041513,0.8520790056355906,0.636392053420613,0.6259147894657054,0.7019875080608863
MSMO1,en,0.6375617699023416,-5.86596350270541,0.11843049716511385,-1.791927937092561,0.6948525537017085,0.7057859565104397,0.9992021033216063,0.9993849095097266
MSN,en,0.44739502355019234,-6.4098238853020675,0.21972666472811508,-2.5144126781040463,0.42537206836515784,0.37803048244985704,0.9844079082478785,0.9900530733324661
MSR1,en,0.23733018787301707,-2.0125644620672642,0.23253374207594477,-2.5217991649439075,0.745401439586332,0.7744446225407028,0.9767715173571854,0.9404351019856589
MSRA,en,0.15897097827262377,-1.6343882216441155,0.2994985647805899,-2.175107951637493,0.8578482237535492,0.8003218417244995,0.9578045022929536,0.9506062417336195
MSRB2,en,0.07200001964736806,-0.7825780995941035,0.46506928160304795,-4.247401790662758,0.9758764641767392,0.9713995286569068,0.9992021033216063,0.9898471718434344
MSRB3,en,0.08818903382775208,-0.915267422254915,0.731447676438589,-7.253620586543297,0.8983061952047561,0.9164973473125926,0.031115055811235286,0.1619845826114139
MST1,en,1.4007684373765181,-12.477932359857146,-1.1150496763568103,9.649555652073982,0.0006905282032966631,5.286662065887893e-05,0.021045202622553272,0.006312111820358621
