gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
ABCA6,ccrcc,-0.040479080061720435,0.1732914658155729,0.09421982888019602,-0.579235404748215,0.6782017580476266,0.8122830562078627,0.1523658181313536,0.3244157206605164
ABCA8,ccrcc,-0.0032945552685565106,-0.24382699534117014,0.05143990222810827,-0.2988979354751877,0.9292780339087542,0.30264799692863925,0.0003414793562765008,0.15071164980237456
ABCB1,ccrcc,-0.0059864195780711515,-0.1887662448375136,0.0315208087550288,-0.918131884478213,0.3469461825566783,0.42200909567675243,4.298996019301319e-15,1.2015247578976383e-06
ABCB10,ccrcc,-0.20326714620293043,1.4979901458251685,0.2838982825676931,-2.0639742673874175,0.00026236778176820736,6.734848101780547e-05,2.8270464411521054e-09,9.219280465386695e-10
ABCB6,ccrcc,-0.0595676092423555,0.8880822763723216,0.10783599151732329,-1.3512887235546152,0.03257345984800995,1.9850846894296548e-05,3.377569300709291e-06,2.4572223302843388e-12
ABCB7,ccrcc,-0.055506552715190796,1.2032196392812358,0.09768436056084848,-1.7915950623008663,0.2889684056767278,0.11465393270380451,0.009833623334792164,0.00621971698345558
ABCB8,ccrcc,-0.15821912848505457,0.4215610367348268,0.2809877249286196,-1.3664318715939265,0.0007035996496333141,0.15479863260061774,8.269076757992546e-13,5.5313139889273754e-08
ABCC1,ccrcc,0.011880020824562961,0.5280126502529358,0.009552422781881518,-0.5740332178899411,0.5913775170661337,2.378216591277267e-06,0.5671732497696668,4.360390454224613e-09
ABCC10,ccrcc,0.03725723366804682,-0.07600065541583018,0.0165570344103608,-0.233928834473185,0.8859584641404222,0.9270740145530648,0.9167740671855887,0.7158051960364932
ABCC2,ccrcc,-0.014519926371635811,-0.11080970994936412,0.03907899557520106,-0.7817815283772858,0.00435290061418634,0.46832896511143624,3.8044695749396534e-22,8.309599910456621e-12
ABCC3,ccrcc,-0.019566362606635385,0.8867862752733656,0.037720943978627186,-1.1355534049958138,0.12366115870048604,1.4757812089094435e-12,0.00018297773532870208,4.490923808196563e-24
ABCC4,ccrcc,-0.006794933173216931,0.4011113853839028,0.02255906914238467,-0.7653239801988511,0.3229606383460282,0.011679498737993965,6.449965961146748e-07,1.0937787989084637e-08
ABCC5,ccrcc,-0.0021840015629906186,0.14783922300046395,-0.0030232617638485393,-0.14356899602500361,0.9818144414924272,0.8701657585474892,0.9624313045674487,0.8526457524142989
ABCC6,ccrcc,-0.010882813408485941,-0.24413824027585995,0.04640225611546214,-0.7210223319521317,0.21765226502015808,0.06349296181950025,1.505075315294456e-25,3.191471853339854e-11
ABCC9,ccrcc,-0.06437038532254137,0.6933782014128989,0.07159358519729173,-0.5552875505559833,0.5773835696086007,0.2271990776965772,0.30524631206864505,0.2339640038533932
ABCD1,ccrcc,-0.1590633585405878,0.7457842678955577,0.2629730875858194,-0.9850452015484183,0.1805551985937466,0.001631896177595508,0.004513768761928944,3.6006079210711378e-06
ABCD3,ccrcc,-0.006043568435834756,-0.21192412243269645,0.022192767433163445,-0.737911307434291,0.3575402951810578,0.4120010444069602,5.878562071072152e-11,9.163712374544583e-05
ABCE1,ccrcc,-0.0048305065509968385,0.2615151906020534,0.01540715167647748,-0.27563099048433903,0.6338018559985636,0.01785946591295235,0.012529889288925058,0.0031077743292242757
ABCF1,ccrcc,0.0018708108804535981,0.050820959150248084,0.012698902372310092,-0.17120985334905617,0.896481654628124,0.8188368914365396,0.08436755568032234,0.30518435755983203
ABCF2,ccrcc,0.006767207132601247,-0.06797174095440588,0.016583368271175517,-0.1498791384154957,0.7150390294869109,0.7450309554306687,0.15361333707812724,0.37935860478587086
ABCF3,ccrcc,-0.0032771034296825326,0.1319649342459363,0.02534786557331303,-0.43535374478234423,0.8049276245574332,0.511100013801863,0.00018688606467650323,0.004311913762023986
ABCG2,ccrcc,-0.13003169098670184,0.7415281084994402,0.16374844753575232,-0.7734841434237822,0.11056936359877065,0.008636857636891813,0.015582130339863548,0.002769121768729088
ABHD10,ccrcc,-0.008480436648534912,-0.5345195775586864,0.033059707132655235,-0.5644898244091248,0.21488918342640928,0.001257342331588901,2.6842850797548285e-15,6.858274716619334e-05
ABHD11,ccrcc,0.030518131082473057,-1.0026842508577423,-0.00936540078240326,0.4569250211208951,0.0056205321825570686,2.4925165799216226e-10,0.34785692788082534,0.0016237778378710797
ABHD12,ccrcc,-0.005033182456089077,0.4200420080505869,0.022880870400024678,-0.6676625824947242,0.6964472922846344,0.01953640142004752,0.002120880445658845,1.265195158822411e-05
ABHD13,ccrcc,-0.11872816067921887,0.5567604231034887,0.11793197070997913,-0.5168775391353876,0.6776416420865178,0.6555831547468892,0.5574813866994076,0.6481820202674592
ABHD14A,ccrcc,-0.14133916369676774,0.9766025074667775,0.026496305728458007,-0.3345459173918089,0.265727282023752,0.22235925595556322,0.04426289161655107,0.3624269170211236
ABHD14B,ccrcc,0.01107070575242083,-0.6443843275944182,0.013468831713400208,0.013918311409850495,0.051723395734429786,8.757576173853457e-08,1.0664399728500312e-05,0.921853625398691
