,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
62,ABI1,0.4791672212418846,0.537261162043973,2.773813506877228e-07,0.008540371914172833,-0.058093940802088406,0.7214964766150945,hnscc,False,True,False
63,ABI2,0.767299129540573,0.7139326244822076,1.0562992983566865e-13,1.1961891450710267e-06,0.05336650505836538,0.6306022067525925,hnscc,True,True,False
64,ABI3,0.743938748544227,0.7693972918348349,7.61349927384846e-17,3.7378928860004045e-06,-0.025458543290607816,0.8323935228833258,hnscc,True,True,False
65,ABI3BP,0.7771918031985713,0.8200894649384223,1.3454214014149419e-20,7.093231080489959e-07,-0.04289766173985099,0.561610067499223,hnscc,True,True,False
66,ABL1,0.34073578060176046,0.22909426889156123,0.04094328052687926,0.07048702176186723,0.11164151171019923,0.6283288991939535,hnscc,False,False,False
67,ABL2,0.1326147916730776,0.3370604859462515,0.003318403584280257,0.50963759956215,-0.20444569427317388,0.39067590940087304,hnscc,False,False,False
68,ABLIM1,0.4062871326372445,0.6803425321659293,3.8806621158042175e-12,0.028742404147344518,-0.27405539952868485,0.09564195954291944,hnscc,False,True,False
69,ABLIM2,0.7425555621580665,0.7207645980564036,4.762179489253221e-14,3.9836256944987894e-06,0.021790964101662924,0.7799942812385675,hnscc,True,True,False
70,ABLIM3,0.627349812515847,0.703601708247169,3.3752463826172026e-13,0.0002701129282934265,-0.07625189573132207,0.5979538738703547,hnscc,False,True,False
71,ABO,0.03316501395589113,0.26608634677917026,0.030812331758061536,0.886516410192817,-0.23292133282327912,0.40311197820660516,hnscc,False,False,False
72,ABR,0.5514925864603497,0.8264915005392479,3.7271455047438016e-21,0.0019284644564955499,-0.2749989140788982,0.0025913222389837686,hnscc,False,True,False
73,ABRACL,0.6993714422224035,0.46383198720233365,1.469118949082569e-05,2.4284077740354844e-05,0.2355394550200699,0.22691846397988003,hnscc,False,False,False
74,ABRAXAS1,0.36358586013343547,0.14297436487923534,0.20580450928665023,0.052527637700518506,0.22061149525420012,0.33041966482559226,hnscc,False,False,False
75,ABRAXAS2,0.3952762485773552,0.27220524349312136,0.01457885747464913,0.033813363533627426,0.12307100508423385,0.5593749847973428,hnscc,False,False,False
76,ABT1,-0.052088914186764826,0.2964923421675006,0.007573738239006136,0.7884293956793658,-0.3485812563542654,0.11473929255567436,hnscc,False,False,False
77,ABTB1,0.0026784463348671775,0.12590713790895708,0.3215112767751054,0.990322691896029,-0.1232286915740899,0.6530712650006428,hnscc,False,False,False
78,ABTB2,0.4720625488670788,0.4910612262443715,3.277083537567704e-05,0.035594740542277514,-0.01899867737729266,0.8951385527665869,hnscc,False,False,False
