,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
5830,NAIP,0.29923850886992825,0.38655758243646093,0.007962884101974536,0.051254571632553377,-0.08731907356653268,0.6748280553831755,en,False,False,False
5831,NAMPT,0.7386369873017385,0.8470103297297067,3.25715752607304e-14,3.0887897268475256e-09,-0.10837334242796814,0.16609304570590866,en,True,True,False
5832,NANP,0.48082610594417613,0.6168468986107019,3.0288616390671915e-06,0.0006238634010091526,-0.13602079266652572,0.41594225459418355,en,False,True,False
5833,NANS,0.7832394844791639,0.6755673875519945,1.3801214747984147e-07,7.676287999734401e-11,0.10767209692716939,0.24848569651298036,en,True,True,False
5834,NAP1L1,0.49537480347621277,0.40294225449018517,0.004517782849923746,0.000399695140618349,0.0924325489860276,0.6471252149446899,en,False,False,False
5835,NAP1L4,0.49352098220353374,0.6243890622348099,2.110571949502391e-06,0.000423493616199644,-0.1308680800312762,0.48569255760894703,en,False,True,False
5836,NAP1L5,0.2166836796567247,0.5478742324268374,0.0003701924548009514,0.1913160230719814,-0.3311905527701127,0.140633279278617,en,False,False,False
5837,NAPA,0.5445835694243133,0.5393186323147088,7.643019769739262e-05,7.578127986031596e-05,0.005264937109604517,0.9762951919212939,en,False,False,False
5838,NAPB,0.24734729855789103,0.32121257410977966,0.02600597007374697,0.09369425574238956,-0.07386527555188863,0.7148716747328567,en,False,False,False
5839,NAPEPLD,0.7307072196301825,0.7273885325799161,4.744560773788453e-09,5.514784541547423e-09,0.003318687050266389,0.9746211734386886,en,True,True,False
5840,NAPG,0.5520158907566288,0.6315603738984574,1.4836997167146933e-06,5.760750971238839e-05,-0.0795444831418286,0.5618518452129211,en,False,True,False
5841,NAPRT,0.8536116731425498,0.7866589789365864,3.4093489645467404e-11,2.4694460409359688e-14,0.06695269420596339,0.41810743437833964,en,True,True,False
5842,NAPSA,0.6468564828416249,0.8167939550920217,6.746851527608457e-09,8.609495879427825e-06,-0.1699374722503968,0.32942343123314854,en,False,True,False
5843,NARF,0.7512449781199487,0.7998585900287156,9.150850530213782e-12,1.17608592446116e-09,-0.048613611908766896,0.5515621494393836,en,True,True,False
