,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
8871,SRPRA,-0.12145462465788746,0.3190207170346867,0.010187986878536474,0.5151382802529012,-0.4404753416925742,0.09656878034879868,en,False,False,False
8872,SRPRB,0.03191073496375817,0.02514269905936624,0.8436644690496381,0.8646850908846311,0.006768035904391928,0.991077634402361,en,False,False,False
8873,SRPX,0.6757276152980677,0.5410816172471884,3.9085183975052895e-06,3.0267765164281602e-05,0.1346459980508793,0.3745718461985508,en,False,True,False
8874,SRPX2,0.5604708178047672,0.5172244707450653,1.207807715421609e-05,0.0010406125460285698,0.04324634705970187,0.7980379392084086,en,False,False,False
8875,SRR,0.51195991114808,0.285013307931178,0.03671244841549327,0.010544271887506899,0.22694660321690202,0.3917233462040006,en,False,False,False
8876,SRRM1,0.2603109288767055,0.3463953952651151,0.005048514209755503,0.15727128767632081,-0.08608446638840961,0.6516787200673229,en,False,False,False
8877,SRRM2,0.26385162313363697,0.3314815359611839,0.007457464793006623,0.15149985162382545,-0.06762991282754693,0.7522331661794619,en,False,False,False
8878,SRRT,0.5505391011041035,0.5880066401508539,3.2403962638276937e-07,0.0013314130027431233,-0.037467539046750375,0.8061310414630042,en,False,True,False
8879,SRSF1,0.04991755384885931,0.1387523932675966,0.27420025431754524,0.7897201485229304,-0.0888348394187373,0.6796226698664394,en,False,False,False
8880,SRSF10,0.6234109782614907,0.3685135800040472,0.0027334911667136657,0.000179320837268976,0.2548973982574435,0.19865968630803565,en,False,False,False
8881,SRSF11,0.17475420582394197,0.28184398692985163,0.024054007251642102,0.3470797144303298,-0.10708978110590966,0.6137193094705495,en,False,False,False
8882,SRSF12,0.07581100504783315,0.691127675600281,7.035984788189288e-10,0.695900686636846,-0.6153166705524479,0.004628724060895411,en,False,True,False
8883,SRSF2,0.037632723322933034,0.20493184196766095,0.10428317470587284,0.8407059142374013,-0.1672991186447279,0.42784813246983233,en,False,False,False
8884,SRSF3,0.22013662016214802,0.2375887973926426,0.05870240391784697,0.2340594890137481,-0.01745217723049458,0.9233967203388196,en,False,False,False
8885,SRSF4,0.2932010977581101,0.28499336020613586,0.022455657734055376,0.10942182577588772,0.008207737551974237,0.9417113307306245,en,False,False,False
8886,SRSF5,-0.12504452570163374,0.28005823865561885,0.025002314725154053,0.5027008751366692,-0.40510276435725256,0.09910438857371696,en,False,False,False
8887,SRSF6,0.40592003945682614,0.3559282917271195,0.0038957849569788614,0.02346772024815459,0.04999174772970666,0.7765622528387551,en,False,False,False
8888,SRSF7,0.17694623628916287,0.07192785627659609,0.5722002012533939,0.3409692105234029,0.10501838001256678,0.7485071436769617,en,False,False,False
8889,SRSF8,0.3358476354893763,-0.0627368388078772,0.6223741380543936,0.06472653333744338,0.3985844742972535,0.07589619409654615,en,False,False,False
8890,SRSF9,0.4833100706082984,0.47889052273949106,6.253511853633383e-05,0.005881868922468642,0.0044195478688073275,0.9597597801923285,en,False,False,False
8891,SRXN1,0.5268921340471605,0.7985619398656557,2.685241174803057e-15,0.002324357810363995,-0.2716698058184952,0.16033459649966464,en,False,True,False
8892,SS18,-0.07845904189731372,-0.0005822002836648188,0.9963570288212898,0.6748233009883989,-0.0778768416136489,0.780059657402038,en,False,False,False
8893,SS18L1,0.38288492201508,0.43148461168165575,0.00037115317785522836,0.03350501124523315,-0.04859968966657574,0.8445979789101541,en,False,False,False
8894,SS18L2,0.13652810483359895,0.2295545492208049,0.1846618664855157,0.57730103384362,-0.09302644438720595,0.7233792310735729,en,False,False,False
8895,SSB,0.4168119414674646,0.46197602724530495,0.00012166040144015741,0.01966729237036503,-0.04516408577784037,0.8960059630997741,en,False,False,False
8896,SSBP1,0.6433340676378744,0.3588474994053241,0.0035928736560976227,9.469177899172534e-05,0.28448656823255025,0.26828979775102757,en,False,False,False
8897,SSBP2,0.7188893541766108,0.8665677535020968,2.2356749426073664e-20,5.222364264759797e-06,-0.147678399325486,0.15810045983873655,en,False,True,False
8898,SSBP3,0.38489283397009255,0.8713945992925036,7.688019531242054e-21,0.03251095299088603,-0.4865017653224111,0.00512093836767569,en,False,True,False
8899,SSBP4,0.473079465639251,0.5360559449830111,4.992874288492084e-06,0.00719244818623056,-0.0629764793437601,0.710464000560211,en,False,False,False
8900,SSC5D,0.2651235808982517,0.650308571163575,6.036738782222088e-09,0.14946430496659016,-0.38518499026532327,0.01039463228007363,en,False,True,False
8901,SSH1,0.4179804351554192,0.055159036241734516,0.6650837831880304,0.019291716600036264,0.3628213989136847,0.1176301583135212,en,False,False,False
8902,SSH2,0.3863968804860338,0.12732762917016877,0.3160379297016539,0.031782123629305076,0.25906925131586506,0.2711212260911384,en,False,False,False
8903,SSH3,0.7849559484635857,0.708930874779008,5.5622026965780105e-11,1.714141815316084e-07,0.07602507368457778,0.43065860944739176,en,True,True,False
8904,SSNA1,0.6022396146860347,0.6228254667874543,3.897015208061709e-08,0.00033752567950465315,-0.02058585210141961,0.8936720415001937,en,False,True,False
8905,SSR1,-0.043263727915511446,0.021201975345462764,0.867927588293114,0.8172438156922875,-0.06446570326097421,0.7975928200263823,en,False,False,False
8906,SSR2,-0.39120721447298623,0.13407204176383292,0.2908703154935189,0.02953970179041419,-0.5252792562368191,0.01359284491979289,en,False,False,False
8907,SSR3,-0.1470424616091827,0.053045580860785604,0.6771948316635863,0.429902311941674,-0.2000880424699683,0.35483100886669205,en,False,False,False
8908,SSR4,0.13699701544961596,0.26548382879116716,0.03398757592046371,0.462401905808144,-0.1284868133415512,0.5188058333928564,en,False,False,False
8909,SSRP1,0.6494690288993659,0.5217400314164427,9.819328825217533e-06,7.707748282408652e-05,0.1277289974829232,0.42048130714555676,en,False,False,False
8910,SSSCA1,0.6128852137255887,0.5162662609587391,1.2615769551714687e-05,0.00024696705778117157,0.09661895276684962,0.6092984467315443,en,False,False,False
8911,SST,0.667234536064708,0.6823405025407859,0.007174468004055224,0.07065947400354117,-0.015105966476077981,0.903908786605671,en,False,False,False
8912,SSU72,0.2093285481015933,0.5355747470925478,5.110258539293719e-06,0.2584029918195071,-0.32624619899095453,0.051201951401445796,en,False,False,False
8913,SSX2IP,0.6121911734328096,0.5916083609900047,1.2579921156087657e-06,0.0006892772820610007,0.02058281244280491,0.8642665491519306,en,False,True,False
8914,ST13,0.3729200950390561,0.624302697519419,3.5415582712146143e-08,0.03880876599205737,-0.2513826024803629,0.11713342857616842,en,False,True,False
8915,ST14,0.7625241989463376,0.650196701861306,6.085071725040365e-09,6.17438726417644e-07,0.11232749708503165,0.38886898419684435,en,True,True,False
8916,ST3GAL1,0.6365964058597636,0.4294737414604584,0.0006163845266419721,0.000205113416393202,0.2071226643993052,0.29614589409705083,en,False,False,False
8917,ST3GAL2,-0.36000293530442135,0.25464657407948654,0.40113188012517725,0.5517329729111428,-0.6146495093839079,0.38246240822522926,en,False,False,False
8918,ST3GAL6,0.010542810410607424,0.22351558274345257,0.5347632337362147,0.9821029638375248,-0.21297277233284514,0.5200246168609703,en,False,False,False
8919,ST5,0.654519563608707,0.6502845670897773,6.0470789239189116e-09,6.484137198833124e-05,0.004234996518929668,0.9734933374863735,en,False,True,False
8920,ST6GAL1,0.8091121370178713,0.665860399913325,1.927631164096438e-09,3.600860444847941e-08,0.1432517371045463,0.18366897474493138,en,True,True,False
8921,ST6GALNAC1,0.7926354350003598,0.7871046167874663,1.2407619996889023e-14,1.067233726965884e-07,0.0055308182128934735,0.9685863032356743,en,True,True,False
8922,ST6GALNAC2,0.7537229246051694,0.7184900332261231,0.001157450670041499,0.007382928706980388,0.03523289137904628,0.8230244277133049,en,False,False,False
8923,ST6GALNAC3,0.5808630794727352,-0.41580760319915155,0.10919156483942133,0.13106506516714453,0.9966706826718867,0.10921589017384013,en,False,False,False
8924,ST7,-0.21197048203412483,0.2395402602931168,0.08106077310511833,0.25230466592695316,-0.45151074232724164,0.05694642579488309,en,False,False,False
8925,STAB1,0.6927155466826066,0.8183078890630779,1.5027849080638498e-16,1.570867939578618e-05,-0.12559234238047134,0.13358332628035746,en,False,True,False
8926,STAG1,0.5922547920790135,0.5978790124552232,1.8232074549425938e-07,0.00044799808648071074,-0.005624220376209688,0.9737120224458784,en,False,True,False
8927,STAG2,0.5766707831752316,0.4406993896755711,0.0002678721895652565,0.0006845191870975925,0.13597139349966048,0.4715393268212459,en,False,False,False
8928,STAM,0.6445618321797721,0.572467804079201,7.714934752192587e-07,9.09034039174726e-05,0.0720940281005712,0.5922854789494042,en,False,True,False
8929,STAM2,0.6629018034542847,0.5053514142771677,2.0530692012672756e-05,4.8324934859457716e-05,0.15755038917711706,0.2678785971553047,en,False,False,False
8930,STAMBP,0.5761717219520484,0.6522558775572799,5.251540936820217e-09,0.000693633811455655,-0.07608415560523152,0.6292008687789672,en,False,True,False
8931,STAMBPL1,0.5667765059320524,0.6176395627971913,5.430694235564674e-08,0.0008863208787953064,-0.05086305686513892,0.683574330143346,en,False,True,False
8932,STAP2,0.7509671157886788,0.8264542016476025,4.12465894271322e-17,1.133353003871888e-06,-0.07548708585892372,0.39608495516209896,en,True,True,False
8933,STARD10,0.8146337463385236,0.8351505708574075,9.613141038366051e-18,2.443832047829959e-08,-0.020516824518883925,0.8163986031621601,en,True,True,False
8934,STARD13,0.571082707120286,0.703524399592637,8.984512433702054e-11,0.000792848262574516,-0.13244169247235105,0.5366734477879549,en,False,True,False
8935,STARD3,0.24106370086876538,0.7970168188849229,3.319617671786115e-15,0.1914184255984793,-0.5559531180161575,0.008586663367331031,en,False,True,False
8936,STARD3NL,-0.2101648445703445,0.3057121236840499,0.04358215102958386,0.33579076738141855,-0.5158769682543944,0.024886093954986234,en,False,False,False
8937,STARD4,0.7611629836332238,-0.17037669024232482,0.5778688901812102,0.017198804753506533,0.9315396738755486,0.16192826361775647,en,False,False,False
8938,STARD5,0.4254364966552642,0.519385107133334,1.0942946378559111e-05,0.01703240757987243,-0.0939486104780698,0.6243810033890116,en,False,False,False
8939,STARD7,0.5171054453844038,0.6977667383975756,1.4798717184620243e-10,0.0028938056225426226,-0.1806612930131718,0.22275782377702902,en,False,True,False
8940,STAT1,0.9501766552788506,0.9372734638501996,4.519623436313639e-30,3.2103089958530627e-16,0.01290319142865104,0.70349327254097,en,True,True,False
8941,STAT2,0.7331506547771885,0.7728690192796606,7.327693880664511e-14,2.7191403856820083e-06,-0.039718364502472014,0.7494320944049827,en,True,True,False
8942,STAT3,0.7839552100465792,0.8845626919052693,3.308699501159864e-22,1.8207621847264194e-07,-0.10060748185869006,0.3241368148977005,en,True,True,False
8943,STAT4,0.4942436581228014,0.7196407660107318,7.375602739887363e-05,0.07242424224217546,-0.22539710788793038,0.43024345260928987,en,False,False,False
